cod,nome,período,valor
15,PA,2004,969
26,PE,2004,3344
22,PI,2004,131
41,PR,2004,1912
33,RJ,2004,6193
24,RN,2004,237
11,RO,2004,334
14,RR,2004,31
43,RS,2004,1432
42,SC,2004,377
28,SE,2004,301
35,SP,2004,7611
17,TO,2004,100
35,SP,2005,5796
42,SC,2005,392
17,TO,2005,78
12,AC,2005,36
27,AL,2005,909
13,AM,2005,264
16,AP,2005,55
29,BA,2005,2022
23,CE,2005,1012
53,DF,2005,452
32,ES,2005,1189
52,GO,2005,937
21,MA,2005,489
31,MG,2005,3099
50,MS,2005,345
51,MT,2005,487
15,PA,2005,1195
25,PB,2005,543
26,PE,2005,3509
22,PI,2005,151
41,PR,2005,2027
33,RJ,2005,5978
24,RN,2005,268
11,RO,2005,367
14,RR,2005,28
43,RS,2005,1473
28,SE,2005,318
43,RS,2006,1425
12,AC,2006,50
27,AL,2006,1308
13,AM,2006,379
16,AP,2006,75
29,BA,2006,2402
23,CE,2006,1060
53,DF,2006,435
32,ES,2006,1294
52,GO,2006,984
21,MA,2006,479
31,MG,2006,3075
50,MS,2006,370
51,MT,2006,497
15,PA,2006,1295
25,PB,2006,628
26,PE,2006,3592
22,PI,2006,192
41,PR,2006,2229
24,RN,2006,306
11,RO,2006,383
14,RR,2006,38
42,SC,2006,386
28,SE,2006,403
35,SP,2006,5761
17,TO,2006,85
33,RJ,2006,5790
14,RR,2007,28
35,SP,2007,4150
12,AC,2007,51
28,SE,2007,348
43,RS,2007,1661
27,AL,2007,1552
13,AM,2007,415
16,AP,2007,60
29,BA,2007,2700
23,CE,2007,1224
53,DF,2007,516
32,ES,2007,1363
52,GO,2007,1009
21,MA,2007,602
17,TO,2007,88
31,MG,2007,2983
50,MS,2007,401
51,MT,2007,542
15,PA,2007,1385
25,PB,2007,656
26,PE,2007,3706
22,PI,2007,184
41,PR,2007,2285
42,SC,2007,377
33,RJ,2007,5102
24,RN,2007,438
11,RO,2007,321
41,PR,2008,2540
17,TO,2008,98
35,SP,2008,3891
28,SE,2008,368
42,SC,2008,505
43,RS,2008,1801
14,RR,2008,29
11,RO,2008,286
24,RN,2008,536
33,RJ,2008,4336
22,PI,2008,159
26,PE,2008,3449
25,PB,2008,750
15,PA,2008,1929
51,MT,2008,572
50,MS,2008,392
31,MG,2008,2755
21,MA,2008,698
52,GO,2008,1201
32,ES,2008,1495
53,DF,2008,579
23,CE,2008,1332
29,BA,2008,3828
16,AP,2008,65
13,AM,2008,446
27,AL,2008,1596
12,AC,2008,40
29,BA,2009,4361
23,CE,2009,1511
53,DF,2009,666
32,ES,2009,1548
16,AP,2009,69
52,GO,2009,1260
21,MA,2009,785
31,MG,2009,2603
50,MS,2009,429
51,MT,2009,573
15,PA,2009,2038
25,PB,2009,1019
26,PE,2009,3117
22,PI,2009,184
33,RJ,2009,4009
24,RN,2009,620
11,RO,2009,353
14,RR,2009,27
43,RS,2009,1645
42,SC,2009,511
27,AL,2009,1560
28,SE,2009,451
35,SP,2009,3851
17,TO,2009,128
41,PR,2009,2673
12,AC,2009,61
13,AM,2009,572
14,RR,2010,29
12,AC,2010,63
27,AL,2010,1721
13,AM,2010,635
16,AP,2010,103
15,PA,2010,2502
29,BA,2010,4439
23,CE,2010,2057
53,DF,2010,576
32,ES,2010,1359
52,GO,2010,1317
21,MA,2010,827
31,MG,2010,2456
50,MS,2010,344
51,MT,2010,566
25,PB,2010,1208
26,PE,2010,2649
22,PI,2010,207
41,PR,2010,2630
33,RJ,2010,4111
24,RN,2010,611
11,RO,2010,351
43,RS,2010,1496
42,SC,2010,483
28,SE,2010,452
35,SP,2010,3469
17,TO,2010,131
32,ES,2011,1352
12,AC,2011,50
27,AL,2011,1913
13,AM,2011,879
16,AP,2011,80
29,BA,2011,4170
23,CE,2011,2063
53,DF,2011,657
52,GO,2011,1579
31,MG,2011,3000
50,MS,2011,368
51,MT,2011,602
15,PA,2011,2077
25,PB,2011,1379
26,PE,2011,2541
22,PI,2011,251
41,PR,2011,2365
33,RJ,2011,3411
24,RN,2011,788
11,RO,2011,286
14,RR,2011,25
43,RS,2011,1531
42,SC,2011,483
28,SE,2011,523
35,SP,2011,3262
17,TO,2011,158
21,MA,2011,944
25,PB,2012,1224
26,PE,2012,2475
22,PI,2012,311
52,GO,2012,1955
41,PR,2012,2433
33,RJ,2012,3472
24,RN,2012,856
11,RO,2012,338
14,RR,2012,32
43,RS,2012,1737
42,SC,2012,491
28,SE,2012,648
35,SP,2012,3848
17,TO,2012,178
21,MA,2012,1152
31,MG,2012,3228
13,AM,2012,855
50,MS,2012,337
27,AL,2012,1737
32,ES,2012,1335
15,PA,2012,2138
51,MT,2012,641
12,AC,2012,85
53,DF,2012,725
23,CE,2012,3135
29,BA,2012,4594
16,AP,2012,117
53,DF,2013,593
12,AC,2013,95
27,AL,2013,1860
13,AM,2013,695
52,GO,2013,2138
16,AP,2013,104
29,BA,2013,4287
23,CE,2013,3655
32,ES,2013,1290
21,MA,2013,1397
31,MG,2013,3468
50,MS,2013,318
51,MT,2013,745
15,PA,2013,2229
25,PB,2013,1258
26,PE,2013,2299
22,PI,2013,365
41,PR,2013,2025
33,RJ,2013,3555
24,RN,2013,1149
11,RO,2013,300
14,RR,2013,70
43,RS,2013,1714
42,SC,2013,442
28,SE,2013,732
35,SP,2013,3440
17,TO,2013,146
23,CE,2014,3795
53,DF,2014,631
32,ES,2014,1292
52,GO,2014,2054
21,MA,2014,1688
31,MG,2014,3377
50,MS,2014,357
51,MT,2014,854
15,PA,2014,2305
25,PB,2014,1253
26,PE,2014,2543
22,PI,2014,455
41,PR,2014,2071
33,RJ,2014,3642
24,RN,2014,1314
11,RO,2014,402
14,RR,2014,47
43,RS,2014,2055
42,SC,2014,499
28,SE,2014,898
35,SP,2014,3541
17,TO,2014,176
16,AP,2014,152
13,AM,2014,762
27,AL,2014,1806
12,AC,2014,115
29,BA,2014,4671
35,SP,2015,3097
12,AC,2015,116
27,AL,2015,1476
13,AM,2015,930
16,AP,2015,154
29,BA,2015,4555
23,CE,2015,3393
53,DF,2015,489
32,ES,2015,1093
52,GO,2015,2161
21,MA,2015,1718
31,MG,2015,3214
50,MS,2015,316
51,MT,2015,769
15,PA,2015,2539
25,PB,2015,1264
26,PE,2015,3065
22,PI,2015,400
41,PR,2015,1972
33,RJ,2015,3182
24,RN,2015,1238
11,RO,2015,383
14,RR,2015,57
43,RS,2015,2282
42,SC,2015,570
28,SE,2015,1108
17,TO,2015,276
52,GO,2016,2143
21,MA,2016,1625
31,MG,2016,3321
50,MS,2016,326
51,MT,2016,752
15,PA,2016,3048
25,PB,2016,1060
26,PE,2016,3475
22,PI,2016,440
41,PR,2016,2125
33,RJ,2016,4019
24,RN,2016,1569
11,RO,2016,465
14,RR,2016,72
43,RS,2016,2507
42,SC,2016,611
28,SE,2016,1259
27,AL,2016,1546
35,SP,2016,2720
17,TO,2016,312
23,CE,2016,2908
29,BA,2016,5449
53,DF,2016,516
32,ES,2016,968
16,AP,2016,222
13,AM,2016,791
12,AC,2016,226
21,MA,2017,1483
53,DF,2017,401
12,AC,2017,384
11,RO,2017,373
52,GO,2017,2057
51,MT,2017,669
50,MS,2017,327
43,RS,2017,2591
42,SC,2017,653
41,PR,2017,1832
35,SP,2017,2518
33,RJ,2017,4411
32,ES,2017,1227
31,MG,2017,3067
29,BA,2017,5427
28,SE,2017,1106
27,AL,2017,1526
26,PE,2017,4478
25,PB,2017,1054
24,RN,2017,1927
23,CE,2017,4698
22,PI,2017,376
17,TO,2017,318
16,AP,2017,177
15,PA,2017,3362
14,RR,2017,93
13,AM,2017,975
